date	dow	menu	notes	section	locate	shoes
6/1	月	ランオフ	奈良後回復。睡眠と補給を最優先。			
6/2	火	ランオフ	深部疲労・神経系・内臓回復。走らない。			
6/3	水	ランオフ	チェック項目は多くOKだが、睡眠欲/だるさ・臀部大腿筋肉痛が残るため見送り。			
6/4	木	ランオフ	構造保存リカバリーセット。骨盤水平/片脚立ち/上下リセット。			
6/5	金	ランオフ	走らず回復。胸郭回旋と肩甲骨可動域だけ軽く。			
6/6	土	自然収束ジョグ	初回起動チェック。NeoZenで吊り下げv3を弱く通す。走れることの確認で、練習再開ではない。	WU	自宅〜多摩川	
				メイン	多摩川	NeoZen
				CD	多摩川〜自宅	
6/7	日	ランオフ	初回起動後の反応確認。走らない判断を優先。			
6/8	月	ランオフ	完全ランオフ。睡眠/補給/散歩は任意。			
6/9	火	ランオフ	ランオフ。片脚立ち左右差確認＋上下リセット。			
6/10	水	ランオフ	ランオフ。股関節ゆるい可動域、胸郭回旋。			
6/11	木	ランオフ	ランオフ。週末再開テストに向けて疲労を抜く。			
6/12	金	ランオフ	ランオフ。翌日の砧岡本に備え、脚をいじめない。			
6/13	土	構造、脚づくりの再起動	再開週末テスト。Boston13で砧岡本1周を基本、良ければ最大2周。登りで頑張らず、下りで遊ばない。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
6/14	日	基礎静音ロング	type1：多摩川静音ロング。もっと静かに/もっと弱く/もっと自動で。呼吸1〜2。45〜75分目安。	WU	自宅〜多摩川	
				メイン	多摩川	Pegasus41 / GlycerinMAX / Cloudmonster
				CD	多摩川〜自宅	
6/15	月	ランオフ	週末再開テスト後の吸収日。睡眠と補給優先。			
6/16	火	ランオフ＋リカバリーセット	骨盤水平/股関節可動域/片脚立ち＋上下リセット/胸郭回旋。			
6/17	水	構造Zone2ジョグ	20〜30分。bpm130台以内目安、GCB 50.0〜51.0%、走後に軽いこと。	メイン	自宅周辺 or 多摩川	Pegasus41 / Ride17
6/18	木	ランオフ	前日の反応確認。違和感があれば完全休養。			
6/19	金	ランオフ	週末セット準備。筋トレ化しない。			
6/20	土	構造ブラッシュアップ	通常版への移行テスト。Boston13で砧岡本2周目安、良ければ3周は可だが物足りなく終える。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
6/21	日	基礎静音ロング	type1：60〜90分。もっと静かに/弱く/自動で。呼吸1〜2、構造Zone2。	WU	自宅〜多摩川	
				メイン	多摩川	Pegasus41 / GlycerinMAX / Cloudmonster
				CD	多摩川〜自宅	
6/22	月	ランオフ	週末セット後の吸収。			
6/23	火	帰宅ラン10km E〜静音巡航	走行頻度の再開。5'45〜6'15/km目安、構造を日常化。	メイン	帰宅ランルート	Ride17 / Pegasus41 / Novablast5
6/24	水	ランオフ or ピラティス	胸郭/骨盤/股関節を整える。走らなくてよい。			
6/25	木	帰宅ラン10km E〜M寄り	後半だけ5'30〜5'45/kmへ自然に寄れば可。取りに行かない。	メイン	帰宅ランルート	Boston13 / Novablast5
6/26	金	ランオフ	週末に備える。			
6/27	土	構造ブラッシュアップ	Boston13 砧岡本2〜3周。坂後復元、下りで膝を止めない。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
6/28	日	構造保存ロング	type4：NB5ならピッチ/接地/離地、NeoZenならストライド/乗り込み確認。呼吸1〜2。	WU	自宅〜多摩川	
				メイン	多摩川	Novablast5 / NeoZen
				CD	多摩川〜自宅	
6/29	月	ランオフ	回復・吸収。			
6/30	火	帰宅ラン10km E	呼吸1〜2。左右差監査。Ride17があれば嘘発見器枠。	メイン	帰宅ランルート	Ride17 / Pegasus41
7/1	水	ランオフ or ピラティス	体側一本筋→対角線の通りを軽く確認。			
7/2	木	帰宅ラン10km E〜Mブリッジ	後半5'30〜5'45/kmを短く。構造固定ではなく構造Zone2。	メイン	帰宅ランルート	Boston13 / Novablast5
7/3	金	ランオフ	週末type2前の余白。			
7/4	土	構造保存・坂後復元	翌日type2予定のためBoston13 砧岡本2周まで。登り切り後の復元重視。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
7/5	日	巡航順化ロング	type2：呼吸3を呼吸2へ順化。5'45〜5'30/km中心、余裕があれば短く5'15〜5'30。	WU	自宅〜多摩川	
				メイン	多摩川	Speed4 / EVO SL
				CD	多摩川〜自宅	
7/6	月	ランオフ	type2後の吸収。			
7/7	火	帰宅ラン10km 回復寄り	6'00〜6'30/kmでも可。脚をほぐし、左右差を見る。	メイン	帰宅ランルート	Ride17 / Pegasus41
7/8	水	ランオフ or ピラティス	肩甲骨/胸郭/骨盤。背中で走る準備。			
7/9	木	帰宅ラン10km E〜M寄り	5'30/kmを取りに行かず、出てしまう範囲だけ。	メイン	帰宅ランルート	Novablast5 / Boston13
7/10	金	ランオフ	回復週末へつなぐ。			
7/11	土	軽め構造保存	Boston13 砧岡本1〜2周。回復・吸収週。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
7/12	日	基礎静音ロング	type1：75〜100分。もっと静かに/弱く/自動で。	WU	自宅〜多摩川	
				メイン	多摩川	GlycerinMAX / Pegasus41 / Cloudmonster
				CD	多摩川〜自宅	
7/13	月	ランオフ	週末の吸収。			
7/14	火	帰宅ラン10km E	構造の日常化。bpm130台で5'45〜6'10/kmが目安。	メイン	帰宅ランルート	Ride17 / Pegasus41
7/15	水	ランオフ or 可動域	股関節・胸郭・肩甲骨。走らない日を残す。			
7/16	木	帰宅ラン10km E〜Mブリッジ	後半だけ自然に5'30/km前後。呼吸2以内なら合格。	メイン	帰宅ランルート	Novablast5 / Boston13
7/17	金	ランオフ	週末type4前の余白。			
7/18	土	構造ブラッシュアップ	Boston13 砧岡本2〜3周。体側で立ち、対角線で進む。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
7/19	日	構造保存ロング	type4：NB5ならピッチ/離地、NeoZenなら乗り込み。GC/VOが増えたら弱める。	WU	自宅〜多摩川	
				メイン	多摩川	Novablast5 / NeoZen
				CD	多摩川〜自宅	
7/20	月	ランオフ	祝日でも休む。吸収優先。			
7/21	火	帰宅ラン10km E	回復寄り。左右差監査。	メイン	帰宅ランルート	Ride17 / Pegasus41
7/22	水	ランオフ or ピラティス	背中・対角線を固めず通す。			
7/23	木	帰宅ラン10km E〜M寄り	5'30〜5'15/kmを短く自然挿入。呼吸3に上げすぎない。	メイン	帰宅ランルート	Novablast5 / Boston13
7/24	金	ランオフ	type3前の余白。			
7/25	土	構造保存・軽め	翌日type3予定のためBoston13 砧岡本2周まで。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
7/26	日	呼吸4 短時間刺激	type3：呼吸4は1km×2〜3本または1〜3kmだけ。全体を呼吸4にしない。	WU	自宅〜多摩川	
				メイン	多摩川	Flash2 / Speed5 / EVO SL
				CD	多摩川〜自宅	
7/27	月	ランオフ	type3後の完全吸収。			
7/28	火	帰宅ラン10km 回復寄り	6'00/km前後で静かに。疲労があれば短縮。	メイン	帰宅ランルート	Ride17 / Pegasus41
7/29	水	ランオフ or ピラティス	胸郭回旋/肩甲骨/骨盤水平。			
7/30	木	帰宅ラン10km E〜Mブリッジ	7月の締め。5'30/kmが出てしまう範囲で。	メイン	帰宅ランルート	Novablast5 / Boston13
7/31	金	ランオフ	8月の巡航速度底上げに備える。			
8/1	土	構造ブラッシュアップ	Boston13 砧岡本2〜3周。坂後復元を丁寧に。	WU	自宅〜砧公園	
				メイン	砧岡本	Boston13
				CD	砧公園〜自宅	
8/2	日	基礎静音ロング	type1：90〜120分。bpm130台〜低140台、5'45〜6'00/kmを低コスト化。	WU	自宅〜多摩川	
				メイン	多摩川	Pegasus41 / GlycerinMAX / Cloudmonster
				CD	多摩川〜自宅	
8/3	月	ランオフ	週末セット後の吸収。			
8/4	火	帰宅ラン10km E	構造Zone2。静かに走って翌日に残さない。	メイン	帰宅ランルート	Ride17 / Pegasus41
8/5	水	ランオフ or ピラティス	一本筋を固めず、対角線がたるまない位置へ。			
8/6	木	帰宅ラン10km M寄り確認	後半20分だけ5'30〜5'45/km。呼吸2以内・接地静かなら合格。	メイン	帰宅ランルート	Novablast5 / Boston13
8/7	金	ランオフ	週末type2前の余白。			
